time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2
Ceará,Juventude,sáb.,16:00,1.57,3.90,5.75
Botafogo,Bragantino,sáb.,18:30,1.49,4.10,6.50
Cruzeiro,São Paulo,sáb.,21:00,1.80,3.55,4.40
Flamengo,Grêmio,dom.,16:00,1.26,5.60,10.50
Santos,Fluminense,dom.,16:00,2.33,3.30,3.05
Corinthians,Palmeiras,dom.,18:30,2.95,3.20,2.43
Mirassol,Bahia,dom.,18:30,2.33,3.40,2.95
Vitória,Atlético-MG,dom.,18:30,2.75,3.10,2.63
Internacional,Fortaleza,dom.,20:30,1.60,3.95,5.40
Sport,Vasco,dom.,20:30,2.40,3.25,2.95
