time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2
Fortaleza,Vitória,13 de set.,16:00,1.37,2.88
Grêmio,Mirassol,13 de set.,16:00,1.58,2.23
Palmeiras,Internacional,13 de set.,18:30,1.22,3.9
Fluminense,Corinthians,13 de set.,21:00,1.4,2.75
Bragantino,Sport,14 de set.,11:00,1.37,2.88
Atlético-MG,Santos,14 de set.,16:00,1.36,2.9
Juventude,Flamengo,14 de set.,16:00,5.3,1.13
São Paulo,Botafogo,14 de set.,17:30,1.5,2.43
Vasco,Ceará,14 de set.,20:30,1.34,3.0
Bahia,Cruzeiro,15 de set.,20:00,1.58,2.25
Vitória,Fluminense,20 de set.,16:00,1.74,1.98
Botafogo,Atlético-MG,20 de set.,18:30,1.17,4.4
Ceará,Bahia,20 de set.,18:30,1.86,1.84
Palmeiras,Fortaleza,20 de set.,21:00,1.05,8.0
Mirassol,Juventude,21 de set.,16:00,1.18,4.3
Flamengo,Vasco,21 de set.,17:30,1.16,4.6
Internacional,Grêmio,21 de set.,17:30,1.35,2.95
Sport,Corinthians,21 de set.,17:30,1.9,1.8
Cruzeiro,Bragantino,21 de set.,20:30,1.15,4.7
Santos,São Paulo,21 de set.,20:30,1.7,2.04
