time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas
Fortaleza,Vitória,sáb.,16:00,1.36,2.95,353
Grêmio,Mirassol,sáb.,16:00,1.58,2.25,321
Palmeiras,Internacional,sáb.,18:30,1.21,4.0,316
Fluminense,Corinthians,sáb.,21:00,1.41,2.7,291
Bragantino,Sport,dom.,11:00,1.38,2.85,255
Atlético-MG,Santos,dom.,16:00,1.36,2.95,311
Juventude,Flamengo,dom.,16:00,5.3,1.13,283
São Paulo,Botafogo,dom.,17:30,1.5,2.43,248
Vasco,Ceará,dom.,20:30,1.33,3.05,290
Bahia,Cruzeiro,seg.,20:00,1.58,2.23,282
Botafogo,Mirassol,qua.,19:30,1.23,3.8,287
Vitória,Fluminense,20 de set.,16:00,1.74,2.0,298
Botafogo,Atlético-MG,20 de set.,18:30,1.2,4.1,315
Ceará,Bahia,20 de set.,18:30,1.89,1.83,261
Palmeiras,Fortaleza,20 de set.,21:00,1.1,5.8,275
Mirassol,Juventude,21 de set.,16:00,1.21,4.0,269
Flamengo,Vasco,21 de set.,17:30,1.18,4.4,277
Internacional,Grêmio,21 de set.,17:30,1.38,2.85,263
Sport,Corinthians,21 de set.,17:30,1.92,1.8,257
Cruzeiro,Bragantino,21 de set.,20:30,1.19,4.2,298
Santos,São Paulo,21 de set.,20:30,1.7,2.05,274
