time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2
Ceará,Juventude,sáb.,16:00,1.55,4.00,5.80
Botafogo,Bragantino,sáb.,18:30,1.58,3.85,5.80
Cruzeiro,São Paulo,sáb.,21:00,1.84,3.45,4.30
Flamengo,Grêmio,dom.,16:00,1.24,5.75,11.50
Santos,Fluminense,dom.,16:00,2.32,3.25,3.05
Corinthians,Palmeiras,dom.,18:30,3.00,3.15,2.40
Mirassol,Bahia,dom.,18:30,2.32,3.45,2.90
Vitória,Atlético-MG,dom.,18:30,2.75,3.10,2.63
Internacional,Fortaleza,dom.,20:30,1.58,4.10,5.40
Sport,Vasco,dom.,20:30,2.43,3.20,2.95
Fortaleza,Vitória,13 de set.,16:00,2.14,3.10,3.55
Grêmio,Mirassol,13 de set.,16:00,2.14,3.10,3.55
Palmeiras,Internacional,13 de set.,18:30,1.58,3.65,6.00
Fluminense,Corinthians,13 de set.,21:00,2.05,3.25,3.60
Bragantino,Sport,14 de set.,11:00,1.66,3.50,5.50
Atlético-MG,Santos,14 de set.,16:00,1.68,3.70,4.70
Juventude,Flamengo,14 de set.,16:00,6.00,3.90,1.54
São Paulo,Botafogo,14 de set.,17:30,2.43,3.15,2.88
Vasco,Ceará,14 de set.,20:30,2.20,3.10,3.40
