time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,num_apostas
Sport,Atlético-MG,sáb.,16:00,3.55,3.20,2.14,448
Vasco,Juventude,sáb.,18:00,1.40,4.50,8.00,443
Internacional,Bahia,sáb.,18:30,2.23,3.20,3.30,388
São Paulo,Bragantino,sáb.,21:00,1.68,3.45,5.60,416
Corinthians,Ceará,dom.,16:00,1.68,3.45,5.75,339
Cruzeiro,Fluminense,dom.,16:00,1.91,3.25,4.30,322
Vitória,Botafogo,dom.,16:00,3.10,3.15,2.33,308
Flamengo,Santos,dom.,18:30,1.29,5.30,10.00,329
Fortaleza,Grêmio,dom.,20:30,1.97,3.25,4.00,335
Mirassol,Palmeiras,dom.,20:30,3.95,3.25,1.98,344
