id_jogo,time_casa,time_fora,data_jogo
1,Atlético-MG,Bahia,2025-11-05 20:00:00
2,Atlético-MG,Ceará,2025-10-25 16:00:00
3,Atlético-MG,Cruzeiro,2025-10-15 21:30:00
4,Atlético-MG,Fortaleza,2025-11-12 20:30:00
5,Atlético-MG,Juventude,2025-09-30 21:30:00
6,Atlético-MG,Mirassol,2025-09-27 21:00:00
7,Atlético-MG,Santos,2025-09-14 16:00:00
8,Atlético-MG,Sport,2025-10-08 19:00:00
9,Bahia,Bragantino,2025-11-02 16:00:00
10,Bahia,Cruzeiro,2025-09-15 20:00:00
11,Bahia,Flamengo,2025-10-05 18:30:00
12,Bahia,Fortaleza,2025-11-20 18:00:00
13,Bahia,Grêmio,2025-10-19 20:30:00
14,Bahia,Internacional,2025-10-22 19:00:00
15,Bahia,Palmeiras,2025-09-28 16:00:00
16,Botafogo,Atlético-MG,2025-09-20 18:30:00
17,Botafogo,Bahia,2025-10-01 21:30:00
18,Botafogo,Bragantino,2025-08-30 21:30:00
19,Botafogo,Flamengo,2025-10-15 19:30:00
20,Botafogo,Mirassol,2025-09-17 19:30:00
21,Botafogo,Santos,2025-10-26 16:00:00
22,Botafogo,Sport,2025-11-18 20:30:00
23,Botafogo,Vasco,2025-11-05 19:30:00
24,Bragantino,Atlético-MG,2025-11-16 19:00:00
25,Bragantino,Corinthians,2025-11-05 19:00:00
26,Bragantino,Grêmio,2025-10-04 18:30:00
27,Bragantino,Santos,2025-09-28 18:30:00
28,Bragantino,Sport,2025-09-14 11:00:00
29,Bragantino,Vasco,2025-10-26 18:30:00
30,Ceará,Bahia,2025-09-20 18:30:00
31,Ceará,Botafogo,2025-10-19 16:00:00
32,Ceará,Fluminense,2025-11-02 16:00:00
33,Ceará,Fortaleza,2025-11-06 20:00:00
34,Ceará,Internacional,2025-11-20 21:30:00
35,Ceará,Juventude,2025-08-30 19:00:00
36,Ceará,Santos,2025-10-05 20:30:00
37,Corinthians,Atlético-MG,2025-10-18 18:30:00
38,Corinthians,Ceará,2025-11-09 16:00:00
39,Corinthians,Flamengo,2025-09-28 20:30:00
40,Corinthians,Grêmio,2025-11-02 16:00:00
41,Corinthians,Mirassol,2025-10-04 21:00:00
42,Corinthians,Palmeiras,2025-08-31 18:30:00
43,Corinthians,São Paulo,2025-11-20 19:30:00
44,Cruzeiro,Bragantino,2025-09-21 20:30:00
45,Cruzeiro,Fluminense,2025-11-09 16:00:00
46,Cruzeiro,Fortaleza,2025-10-18 21:00:00
47,Cruzeiro,Sport,2025-10-05 20:30:00
48,Cruzeiro,São Paulo,2025-08-30 21:00:00
49,Cruzeiro,Vitória,2025-11-01 16:00:00
50,Flamengo,Cruzeiro,2025-10-02 20:30:00
51,Flamengo,Grêmio,2025-08-31 16:00:00
52,Flamengo,Palmeiras,2025-10-19 18:30:00
53,Flamengo,Santos,2025-11-09 18:30:00
54,Flamengo,Sport,2025-11-01 21:00:00
55,Flamengo,Vasco,2025-09-21 17:30:00
56,Fluminense,Atlético-MG,2025-10-04 18:30:00
57,Fluminense,Botafogo,2025-09-28 16:00:00
58,Fluminense,Ceará,2025-10-29 19:00:00
59,Fluminense,Corinthians,2025-09-13 21:00:00
60,Fluminense,Flamengo,2025-11-19 21:30:00
61,Fluminense,Internacional,2025-10-25 21:30:00
62,Fluminense,Juventude,2025-10-16 21:30:00
63,Fluminense,Mirassol,2025-11-06 19:30:00
64,Fortaleza,Flamengo,2025-10-25 19:30:00
65,Fortaleza,Grêmio,2025-11-09 20:30:00
66,Fortaleza,Sport,2025-09-27 16:00:00
67,Fortaleza,São Paulo,2025-10-02 19:30:00
68,Fortaleza,Vasco,2025-10-15 21:30:00
69,Fortaleza,Vitória,2025-09-13 16:00:00
70,Grêmio,Botafogo,2025-09-24 19:30:00
71,Grêmio,Cruzeiro,2025-11-05 20:00:00
72,Grêmio,Juventude,2025-10-26 16:00:00
73,Grêmio,Juventude,2025-10-27 20:00:00
74,Grêmio,Mirassol,2025-09-13 16:00:00
75,Grêmio,São Paulo,2025-10-16 19:00:00
76,Grêmio,Vasco,2025-11-19 21:30:00
77,Grêmio,Vitória,2025-09-28 11:00:00
