id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas,data_jogo,data_extracao
74,Atlético-MG,Bahia,qua.,20:00,1.54,2.35,450,2025-11-05 20:00:00,2025-11-04
90,Atlético-MG,Ceará,sáb.,16:00,1.3,3.2,481,2025-10-25 16:00:00,2025-10-25
1028,Atlético-MG,Cruzeiro,qua.,21:30,2.02,1.72,478,2025-10-15 21:30:00,2025-10-15
34,Atlético-MG,Fortaleza,qua.,20:30,1.23,3.65,379,2025-11-12 20:30:00,2025-11-11
205,Atlético-MG,Juventude,ter.,21:30,2.7,3.25,410,2025-09-30 21:30:00,2025-09-30
4,Atlético-MG,Mirassol,sáb.,21:00,1.58,2.23,468,2025-09-27 21:00:00,2025-09-27
312,Atlético-MG,Santos,dom.,16:00,1.36,2.9,442,2025-09-14 16:00:00,2025-09-13
601,Atlético-MG,Sport,qua.,19:00,1.2,4.1,487,2025-10-08 19:00:00,2025-10-08
508,Bahia,Bragantino,dom.,16:00,1.25,3.6,453,2025-11-02 16:00:00,2025-11-01
524,Bahia,Cruzeiro,seg.,20:00,4.9,4.0,283,2025-09-15 20:00:00,2025-09-15
679,Bahia,Flamengo,dom.,18:30,2.18,3.45,426,2025-10-05 18:30:00,2025-10-05
44,Bahia,Fortaleza,20 de nov.,18:00,1.24,3.5,289,2025-11-20 18:00:00,2025-11-11
390,Bahia,Grêmio,dom.,20:30,1.28,3.35,415,2025-10-19 20:30:00,2025-10-18
225,Bahia,Internacional,qua.,19:00,1.33,3.05,437,2025-10-22 19:00:00,2025-10-22
6,Bahia,Palmeiras,dom.,16:00,2.43,1.5,411,2025-09-28 16:00:00,2025-09-27
940,Botafogo,Atlético-MG,sáb.,18:30,1.23,3.8,431,2025-09-20 18:30:00,2025-09-20
586,Botafogo,Bahia,qua.,21:30,1.2,5.8,372,2025-10-01 21:30:00,2025-10-01
1025,Botafogo,Flamengo,qua.,19:30,2.75,1.4,447,2025-10-15 19:30:00,2025-10-15
827,Botafogo,Mirassol,qua.,19:30,2.75,3.4,362,2025-09-17 19:30:00,2025-09-16
348,Botafogo,Santos,dom.,16:00,3.35,3.45,440,2025-10-26 16:00:00,2025-10-26
38,Botafogo,Sport,18 de nov.,20:30,1.1,5.6,285,2025-11-18 20:30:00,2025-11-11
73,Botafogo,Vasco,qua.,19:30,1.37,2.9,392,2025-11-05 19:30:00,2025-11-04
37,Bragantino,Atlético-MG,dom.,19:00,1.57,2.23,275,2025-11-16 19:00:00,2025-11-11
70,Bragantino,Corinthians,qua.,19:00,1.72,2.02,434,2025-11-05 19:00:00,2025-11-04
60,Bragantino,Grêmio,sáb.,18:30,3.85,3.8,345,2025-10-04 18:30:00,2025-10-03
8,Bragantino,Santos,dom.,18:30,1.58,2.23,435,2025-09-28 18:30:00,2025-09-27
311,Bragantino,Sport,dom.,11:00,1.35,3.0,372,2025-09-14 11:00:00,2025-09-13
350,Bragantino,Vasco,dom.,18:30,1.3,4.9,459,2025-10-26 18:30:00,2025-10-26
941,Ceará,Bahia,sáb.,18:30,1.81,1.91,355,2025-09-20 18:30:00,2025-09-20
386,Ceará,Botafogo,dom.,16:00,1.86,1.86,442,2025-10-19 16:00:00,2025-10-18
509,Ceará,Fluminense,dom.,16:00,1.91,1.78,466,2025-11-02 16:00:00,2025-11-01
1045,Ceará,Fortaleza,qui.,20:00,1.58,2.23,427,2025-11-06 20:00:00,2025-11-06
46,Ceará,Internacional,20 de nov.,21:30,1.55,2.28,239,2025-11-20 21:30:00,2025-11-11
681,Ceará,Santos,dom.,20:30,5.0,3.75,394,2025-10-05 20:30:00,2025-10-05
384,Corinthians,Atlético-MG,sáb.,18:30,1.42,2.7,447,2025-10-18 18:30:00,2025-10-18
780,Corinthians,Ceará,dom.,16:00,0.5,0.5,480,2025-11-09 16:00:00,2025-11-09
9,Corinthians,Flamengo,dom.,20:30,3.05,1.33,404,2025-09-28 20:30:00,2025-09-27
510,Corinthians,Grêmio,dom.,16:00,1.25,3.55,468,2025-11-02 16:00:00,2025-11-01
63,Corinthians,Mirassol,sáb.,21:00,3.8,3.55,267,2025-10-04 21:00:00,2025-10-03
45,Corinthians,São Paulo,20 de nov.,19:30,1.45,2.5,242,2025-11-20 19:30:00,2025-11-11
863,Cruzeiro,Bragantino,dom.,20:30,1.16,4.6,448,2025-09-21 20:30:00,2025-09-21
781,Cruzeiro,Fluminense,dom.,16:00,0.5,0.5,439,2025-11-09 16:00:00,2025-11-09
