id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,data_jogo,data_extracao,num_apostas
363,Atlético-MG,Bahia,qua.,20:00,2.17,3.25,3.35,2025-11-05 20:00:00,2025-11-05,476.0
121,Atlético-MG,Ceará,sáb.,16:00,1.8,3.35,4.75,2025-10-25 16:00:00,2025-10-25,481.0
1123,Atlético-MG,Cruzeiro,qua.,21:30,3.0,3.05,2.5,2025-10-15 21:30:00,2025-10-15,478.0
602,Atlético-MG,Fortaleza,qua.,20:30,1.7,3.45,4.8,2025-11-12 20:30:00,2025-11-10,302.0
236,Atlético-MG,Juventude,ter.,21:30,1.56,3.8,6.25,2025-09-30 21:30:00,2025-09-30,410.0
39,Atlético-MG,Mirassol,sáb.,21:00,2.23,3.25,3.25,2025-09-27 21:00:00,2025-09-27,468.0
384,Atlético-MG,Santos,dom.,16:00,1.86,3.45,4.2,2025-09-14 16:00:00,2025-09-13,442.0
667,Atlético-MG,Sport,qua.,19:00,1.6,3.65,6.1,2025-10-08 19:00:00,2025-10-08,487.0
574,Bahia,Bragantino,dom.,16:00,1.63,3.9,5.1,2025-11-02 16:00:00,2025-11-01,453.0
590,Bahia,Cruzeiro,seg.,20:00,2.48,3.0,3.05,2025-09-15 20:00:00,2025-09-15,283.0
755,Bahia,Flamengo,dom.,18:30,5.5,3.75,1.63,2025-10-05 18:30:00,2025-10-05,426.0
457,Bahia,Grêmio,dom.,20:30,1.7,3.7,4.8,2025-10-19 20:30:00,2025-10-18,415.0
256,Bahia,Internacional,qua.,19:00,1.8,3.55,4.4,2025-10-22 19:00:00,2025-10-22,437.0
41,Bahia,Palmeiras,dom.,16:00,3.45,3.35,2.1,2025-09-28 16:00:00,2025-09-27,411.0
1035,Botafogo,Atlético-MG,sáb.,18:30,1.66,3.5,5.75,2025-09-20 18:30:00,2025-09-20,431.0
652,Botafogo,Bahia,qua.,21:30,1.82,3.5,4.4,2025-10-01 21:30:00,2025-10-01,372.0
18,Botafogo,Bragantino,sáb.,18:30,1.56,3.9,6.0,2025-08-30 18:30:00,2025-08-30,0
279,Botafogo,Bragantino,sáb.,21:30,1.49,4.1,6.5,2025-08-30 21:30:00,2025-08-26,0
1120,Botafogo,Flamengo,qua.,19:30,4.1,3.2,1.97,2025-10-15 19:30:00,2025-10-15,447.0
922,Botafogo,Mirassol,qua.,19:30,1.62,3.8,5.5,2025-09-17 19:30:00,2025-09-16,362.0
