id_jogo,time_casa,time_fora,data_jogo,vencedor,rodada,pb_vitoria_casa,pb_empate,pb_derrota_casa,num_apostas
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,23,0.51,0.28,0.21,282
12,Grêmio,Mirassol,2025-09-13 16:00:00,Mirassol,23,0.42,0.3,0.28,272
13,Palmeiras,Internacional,2025-09-13 18:30:00,Palmeiras,23,0.59,0.25,0.16,257
14,Fluminense,Corinthians,2025-09-13 21:00:00,Corinthians,23,0.47,0.3,0.23,315
15,Bragantino,Sport,2025-09-14 11:00:00,Empate,23,0.51,0.27,0.22,253
16,Juventude,Flamengo,2025-09-14 16:00:00,Flamengo,23,0.12,0.21,0.67,280
17,Atlético-MG,Santos,2025-09-14 16:00:00,Empate,23,0.52,0.27,0.21,306
18,São Paulo,Botafogo,2025-09-14 17:30:00,São Paulo,23,0.42,0.31,0.27,248
19,Vasco,Ceará,2025-09-14 20:30:00,Empate,23,0.51,0.28,0.21,290
20,Bahia,Cruzeiro,2025-09-15 20:00:00,Cruzeiro,23,0.41,0.3,0.29,277
