id_jogo,time_casa,time_fora,data_jogo,vencedor,pb_vitoria_casa,pb_empate,pb_derrota_casa,num_apostas,rodada
11,Fortaleza,Vitória,2025-09-13 16:00:00,Fortaleza,0.51,0.28,0.21,282,23
12,Grêmio,Mirassol,2025-09-13 16:00:00,Mirassol,0.42,0.3,0.28,272,23
13,Palmeiras,Internacional,2025-09-13 18:30:00,Palmeiras,0.59,0.25,0.16,257,23
14,Fluminense,Corinthians,2025-09-13 21:00:00,Corinthians,0.47,0.3,0.23,315,23
15,Bragantino,Sport,2025-09-14 11:00:00,Empate,0.51,0.27,0.22,253,23
16,Juventude,Flamengo,2025-09-14 16:00:00,Flamengo,0.12,0.21,0.67,280,23
17,Atlético-MG,Santos,2025-09-14 16:00:00,Empate,0.52,0.27,0.21,306,23
18,São Paulo,Botafogo,2025-09-14 17:30:00,São Paulo,0.42,0.31,0.27,248,23
19,Vasco,Ceará,2025-09-14 20:30:00,Empate,0.51,0.28,0.21,290,23
20,Bahia,Cruzeiro,2025-09-15 20:00:00,Cruzeiro,0.41,0.3,0.29,277,23
22,Vitória,Fluminense,2025-09-20 16:00:00,Fluminense,0.41,0.31,0.28,426,
23,Ceará,Bahia,2025-09-20 18:30:00,Empate,0.37,0.31,0.32,355,
24,Botafogo,Atlético-MG,2025-09-20 18:30:00,Botafogo,0.57,0.26,0.17,431,
25,Palmeiras,Fortaleza,2025-09-20 21:00:00,Palmeiras,0.68,0.20,0.12,398,
26,Mirassol,Juventude,2025-09-21 16:00:00,Mirassol,0.64,0.22,0.14,390,
27,Flamengo,Vasco,2025-09-21 17:30:00,Empate,0.72,0.18,0.10,399,
28,Sport,Corinthians,2025-09-21 17:30:00,Sport,0.33,0.31,0.36,353,
29,Internacional,Grêmio,2025-09-21 17:30:00,Grêmio,0.53,0.27,0.20,353,
30,Cruzeiro,Bragantino,2025-09-21 20:30:00,Cruzeiro,0.62,0.23,0.15,448,
31,Santos,São Paulo,2025-09-21 20:30:00,Santos,0.42,0.31,0.27,409,
34,Fortaleza,Sport,2025-09-27 16:00:00,Fortaleza,0.4337349397590361,0.37349397590361444,0.19277108433734938,,
35,Vasco,Cruzeiro,2025-09-27 18:30:00,Vasco,0.25136612021857924,0.22404371584699456,0.5245901639344263,,
36,Juventude,Internacional,2025-09-27 18:30:00,Empate,0.3163265306122449,0.1122448979591837,0.5714285714285715,,
37,Atlético-MG,Mirassol,2025-09-27 21:00:00,Atlético-MG,0.15533980582524273,0.25242718446601947,0.5922330097087379,,
38,Grêmio,Vitória,2025-09-28 11:00:00,Grêmio,0.44660194174757284,0.39805825242718446,0.15533980582524273,,
39,Fluminense,Botafogo,2025-09-28 16:00:00,Fluminense,0.27433628318584075,0.14159292035398233,0.584070796460177,,
40,Bahia,Palmeiras,2025-09-28 16:00:00,Bahia,0.26086956521739135,0.07971014492753624,0.6594202898550725,,
41,Bragantino,Santos,2025-09-28 18:30:00,Empate,0.46938775510204084,0.163265306122449,0.3673469387755103,,
42,Corinthians,Flamengo,2025-09-28 20:30:00,Flamengo,0.35443037974683544,0.16455696202531647,0.4810126582278481,,
43,São Paulo,Ceará,2025-09-29 20:00:00,Ceará,0.5542168674698795,0.4337349397590362,0.01204819277108434,,
44,Atlético-MG,Juventude,2025-09-30 21:30:00,Empate,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
45,Palmeiras,Vasco,2025-10-01 19:00:00,Palmeiras,0.6011904761904762,0.125,0.2738095238095238,,
46,Mirassol,Bragantino,2025-10-01 19:00:00,Empate,0.54,0.26,0.20,,
47,Sport,Fluminense,2025-10-01 19:00:00,Empate,0.42,0.30,0.28,,
48,Internacional,Corinthians,2025-10-01 19:30:00,Empate,0.47,0.29,0.24,,
49,Santos,Grêmio,2025-10-01 21:30:00,Empate,0.51,0.27,0.22,,
50,Botafogo,Bahia,2025-10-01 21:30:00,Botafogo,0.52,0.27,0.21,,
51,Vitória,Ceará,2025-10-02 19:00:00,Vitória,0.39,0.31,0.3,,
52,Fortaleza,São Paulo,2025-10-02 19:30:00,São Paulo,0.35,0.30,0.35,,
53,Flamengo,Cruzeiro,2025-10-02 20:30:00,Empate,0.60,0.24,0.16,,
54,Fluminense,Atlético-MG,2025-10-04 18:30:00,Fluminense,0.38345864661654133,0.2330827067669173,0.38345864661654133,,
55,Internacional,Botafogo,2025-10-04 18:30:00,Internacional,0.23008849557522126,0.14159292035398233,0.6283185840707964,,
56,Bragantino,Grêmio,2025-10-04 18:30:00,Bragantino,0.19444444444444445,0.5185185185185185,0.28703703703703703,,
