id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas,data_jogo,data_extracao
1,Fortaleza,Sport,sáb.,16:00,1.33,3.1,373,2025-09-27 16:00:00,2025-09-27
2,Juventude,Internacional,sáb.,18:30,2.6,1.44,336,2025-09-27 18:30:00,2025-09-27
3,Vasco,Cruzeiro,sáb.,18:30,2.12,1.64,395,2025-09-27 18:30:00,2025-09-27
4,Atlético-MG,Mirassol,sáb.,21:00,1.58,2.23,468,2025-09-27 21:00:00,2025-09-27
5,Grêmio,Vitória,dom.,11:00,1.29,3.3,409,2025-09-28 11:00:00,2025-09-27
6,Bahia,Palmeiras,dom.,16:00,2.43,1.5,411,2025-09-28 16:00:00,2025-09-27
7,Fluminense,Botafogo,dom.,16:00,1.67,2.1,425,2025-09-28 16:00:00,2025-09-27
8,Bragantino,Santos,dom.,18:30,1.58,2.23,435,2025-09-28 18:30:00,2025-09-27
9,Corinthians,Flamengo,dom.,20:30,3.05,1.33,404,2025-09-28 20:30:00,2025-09-27
10,São Paulo,Ceará,seg.,20:00,1.19,4.2,421,2025-09-29 20:00:00,2025-09-27
11,Atlético-MG,Juventude,ter.,21:30,1.13,5.2,327,2025-09-30 21:30:00,2025-09-27
12,Mirassol,Bragantino,qua.,19:00,1.49,2.48,284,2025-10-01 19:00:00,2025-09-27
13,Palmeiras,Vasco,qua.,19:00,1.09,6.25,316,2025-10-01 19:00:00,2025-09-27
14,Sport,Fluminense,qua.,19:00,1.98,1.75,283,2025-10-01 19:00:00,2025-09-27
15,Internacional,Corinthians,qua.,19:30,1.5,2.43,266,2025-10-01 19:30:00,2025-09-27
16,Botafogo,Bahia,qua.,21:30,1.41,2.75,279,2025-10-01 21:30:00,2025-09-27
17,Santos,Grêmio,qua.,21:30,1.46,2.55,270,2025-10-01 21:30:00,2025-09-27
18,Vitória,Ceará,qui.,19:00,1.62,2.18,284,2025-10-02 19:00:00,2025-09-27
19,Fortaleza,São Paulo,qui.,19:30,1.88,1.84,291,2025-10-02 19:30:00,2025-09-27
20,Flamengo,Cruzeiro,qui.,20:30,1.26,3.55,305,2025-10-02 20:30:00,2025-09-27
21,Vitória,Ceará,qui.,19:00,1.33,4.6,416,2025-10-02 19:00:00,2025-10-02
22,Fortaleza,São Paulo,qui.,19:30,1.13,7.0,405,2025-10-02 19:30:00,2025-10-02
23,Flamengo,Cruzeiro,qui.,20:30,1.13,6.75,435,2025-10-02 20:30:00,2025-10-02
24,Bragantino,Grêmio,sáb.,18:30,4.0,3.75,275,2025-10-04 18:30:00,2025-10-02
25,Fluminense,Atlético-MG,sáb.,18:30,1.22,5.4,324,2025-10-04 18:30:00,2025-10-02
26,Internacional,Botafogo,sáb.,18:30,5.3,4.0,289,2025-10-04 18:30:00,2025-10-02
27,Corinthians,Mirassol,sáb.,21:00,4.0,3.65,268,2025-10-04 21:00:00,2025-10-02
28,São Paulo,Palmeiras,dom.,16:00,1.53,3.9,304,2025-10-05 16:00:00,2025-10-02
29,Vasco,Vitória,dom.,16:00,1.16,6.4,290,2025-10-05 16:00:00,2025-10-02
30,Bahia,Flamengo,dom.,18:30,2.1,3.45,305,2025-10-05 18:30:00,2025-10-02
31,Juventude,Fortaleza,dom.,18:30,4.7,3.8,272,2025-10-05 18:30:00,2025-10-02
32,Ceará,Santos,dom.,20:30,4.5,3.65,271,2025-10-05 20:30:00,2025-10-02
33,Cruzeiro,Sport,dom.,20:30,13.0,9.5,294,2025-10-05 20:30:00,2025-10-02
34,Atlético-MG,Fortaleza,qua.,20:30,1.23,3.65,379,2025-11-12 20:30:00,2025-11-11
35,Sport,Flamengo,sáb.,18:30,7.5,1.05,273,2025-11-15 18:30:00,2025-11-11
36,Santos,Palmeiras,sáb.,21:00,2.55,1.44,292,2025-11-15 21:00:00,2025-11-11
37,Bragantino,Atlético-MG,dom.,19:00,1.57,2.23,275,2025-11-16 19:00:00,2025-11-11
38,Botafogo,Sport,18 de nov.,20:30,1.1,5.6,285,2025-11-18 20:30:00,2025-11-11
39,Palmeiras,Vitória,19 de nov.,19:30,1.06,7.0,295,2025-11-19 19:30:00,2025-11-11
40,Fluminense,Flamengo,19 de nov.,21:30,2.5,1.45,251,2025-11-19 21:30:00,2025-11-11
41,Grêmio,Vasco,19 de nov.,21:30,1.58,2.2,250,2025-11-19 21:30:00,2025-11-11
42,Santos,Mirassol,19 de nov.,21:30,1.56,2.25,292,2025-11-19 21:30:00,2025-11-11
43,Juventude,Cruzeiro,20 de nov.,16:00,2.85,1.36,250,2025-11-20 16:00:00,2025-11-11
44,Bahia,Fortaleza,20 de nov.,18:00,1.24,3.5,289,2025-11-20 18:00:00,2025-11-11
45,Corinthians,São Paulo,20 de nov.,19:30,1.45,2.5,242,2025-11-20 19:30:00,2025-11-11
46,Ceará,Internacional,20 de nov.,21:30,1.55,2.28,239,2025-11-20 21:30:00,2025-11-11
47,Atlético-MG,Sport,qua.,19:00,5.8,4.7,350,2025-10-08 19:00:00,2025-10-06
48,Mirassol,Fluminense,qua.,21:00,10.5,6.4,318,2025-10-08 21:00:00,2025-10-06
49,Palmeiras,Juventude,sáb.,19:00,8.5,7.5,349,2025-10-11 19:00:00,2025-10-06
50,Palmeiras,Bragantino,15 de out.,19:00,4.1,4.1,353,2025-10-15 19:00:00,2025-10-06
51,Botafogo,Flamengo,15 de out.,19:30,8.0,4.9,326,2025-10-15 19:30:00,2025-10-06
52,Mirassol,Internacional,15 de out.,20:00,1.07,10.0,303,2025-10-15 20:00:00,2025-10-06
53,Sport,Ceará,15 de out.,20:00,4.75,3.75,324,2025-10-15 20:00:00,2025-10-06
54,Atlético-MG,Cruzeiro,15 de out.,21:30,5.8,4.1,337,2025-10-15 21:30:00,2025-10-06
55,Fortaleza,Vasco,15 de out.,21:30,4.7,3.8,306,2025-10-15 21:30:00,2025-10-06
56,Santos,Corinthians,15 de out.,21:30,4.5,3.6,291,2025-10-15 21:30:00,2025-10-06
57,Grêmio,São Paulo,16 de out.,19:00,4.7,3.9,298,2025-10-16 19:00:00,2025-10-06
58,Fluminense,Juventude,16 de out.,21:30,4.5,4.1,363,2025-10-16 21:30:00,2025-10-06
59,Vitória,Bahia,16 de out.,21:30,1.52,4.0,336,2025-10-16 21:30:00,2025-10-06
60,Bragantino,Grêmio,sáb.,18:30,3.85,3.8,345,2025-10-04 18:30:00,2025-10-03
61,Fluminense,Atlético-MG,sáb.,18:30,1.22,5.5,421,2025-10-04 18:30:00,2025-10-03
62,Internacional,Botafogo,sáb.,18:30,4.9,3.95,360,2025-10-04 18:30:00,2025-10-03
63,Corinthians,Mirassol,sáb.,21:00,3.8,3.55,267,2025-10-04 21:00:00,2025-10-03
64,São Paulo,Palmeiras,dom.,16:00,1.57,3.8,303,2025-10-05 16:00:00,2025-10-03
65,Vasco,Vitória,dom.,16:00,1.16,6.5,293,2025-10-05 16:00:00,2025-10-03
66,Bahia,Flamengo,dom.,18:30,2.12,3.45,295,2025-10-05 18:30:00,2025-10-03
67,Juventude,Fortaleza,dom.,18:30,5.3,3.95,272,2025-10-05 18:30:00,2025-10-03
68,Ceará,Santos,dom.,20:30,4.6,3.65,269,2025-10-05 20:30:00,2025-10-03
69,Cruzeiro,Sport,dom.,20:30,15.0,10.5,278,2025-10-05 20:30:00,2025-10-03
70,Bragantino,Corinthians,qua.,19:00,1.72,2.02,434,2025-11-05 19:00:00,2025-11-04
71,Sport,Juventude,qua.,19:00,1.3,3.25,416,2025-11-05 19:00:00,2025-11-04
72,Vitória,Internacional,qua.,19:00,1.68,2.08,376,2025-11-05 19:00:00,2025-11-04
73,Botafogo,Vasco,qua.,19:30,1.37,2.9,392,2025-11-05 19:30:00,2025-11-04
74,Atlético-MG,Bahia,qua.,20:00,1.54,2.35,450,2025-11-05 20:00:00,2025-11-04
75,Grêmio,Cruzeiro,qua.,20:00,2.17,1.63,389,2025-11-05 20:00:00,2025-11-04
76,São Paulo,Flamengo,qua.,21:30,2.75,1.4,359,2025-11-05 21:30:00,2025-11-04
77,Fluminense,Mirassol,qui.,19:30,1.34,3.05,338,2025-11-06 19:30:00,2025-11-04
78,Ceará,Fortaleza,qui.,20:00,1.61,2.2,306,2025-11-06 20:00:00,2025-11-04
79,Palmeiras,Santos,qui.,21:30,1.11,5.6,351,2025-11-06 21:30:00,2025-11-04
80,Sport,Atlético-MG,sáb.,16:00,1.93,1.79,364,2025-11-08 16:00:00,2025-11-04
81,Vasco,Juventude,sáb.,18:00,1.11,5.5,357,2025-11-08 18:00:00,2025-11-04
82,Internacional,Bahia,sáb.,18:30,1.55,2.32,326,2025-11-08 18:30:00,2025-11-04
83,São Paulo,Bragantino,sáb.,21:00,1.26,3.55,339,2025-11-08 21:00:00,2025-11-04
84,Corinthians,Ceará,dom.,16:00,1.22,3.85,342,2025-11-09 16:00:00,2025-11-04
85,Cruzeiro,Fluminense,dom.,16:00,1.35,2.95,324,2025-11-09 16:00:00,2025-11-04
86,Vitória,Botafogo,dom.,16:00,2.14,1.65,314,2025-11-09 16:00:00,2025-11-04
87,Flamengo,Santos,dom.,18:30,1.09,6.4,329,2025-11-09 18:30:00,2025-11-04
88,Fortaleza,Grêmio,dom.,20:30,1.48,2.5,341,2025-11-09 20:30:00,2025-11-04
89,Mirassol,Palmeiras,dom.,20:30,2.43,1.5,343,2025-11-09 20:30:00,2025-11-04
90,Atlético-MG,Ceará,sáb.,16:00,1.3,3.2,481,2025-10-25 16:00:00,2025-10-25
91,Vitória,Corinthians,sáb.,16:00,1.76,1.97,453,2025-10-25 16:00:00,2025-10-25
92,Fluminense,Internacional,sáb.,17:30,1.3,3.2,450,2025-10-25 17:30:00,2025-10-25
93,Sport,Mirassol,sáb.,18:30,1.97,1.76,444,2025-10-25 18:30:00,2025-10-25
94,Fortaleza,Flamengo,sáb.,19:30,3.7,1.24,403,2025-10-25 19:30:00,2025-10-25
95,São Paulo,Bahia,sáb.,21:30,1.38,2.85,441,2025-10-25 21:30:00,2025-10-25
96,Botafogo,Santos,dom.,16:00,1.3,3.25,438,2025-10-26 16:00:00,2025-10-25
97,Grêmio,Juventude,dom.,16:00,1.25,3.65,459,2025-10-26 16:00:00,2025-10-25
98,Bragantino,Vasco,dom.,18:30,1.55,2.3,454,2025-10-26 18:30:00,2025-10-25
99,Palmeiras,Cruzeiro,dom.,20:30,1.33,3.1,473,2025-10-26 20:30:00,2025-10-25
100,Fluminense,Ceará,qua.,19:00,1.24,3.7,342,2025-10-29 19:00:00,2025-10-25
101,Cruzeiro,Vitória,1 de nov.,16:00,1.13,5.2,319,2025-11-01 16:00:00,2025-10-25
102,Santos,Fortaleza,1 de nov.,16:00,1.33,3.1,308,2025-11-01 16:00:00,2025-10-25
103,Mirassol,Botafogo,1 de nov.,18:00,1.57,2.28,305,2025-11-01 18:00:00,2025-10-25
